,Leaf.C.per.dry.mass,Leaf.C.to.N.ratio,Leaf.weight.ratio,Lamina.thickness,Leaf.N.per.dry.mass,Leaf.N.to.P.ratio,Leaf.P.per.dry.mass,Leaf.physical.strength,Leaf.K.per.dry.mass,SLA,Photosynthesis.per.leaf.dry.mass,RGR,Rooting.depth,Seed.mass,Seed.number.per.reproduction.unit,Seed.protein.content.per.mass,SSD,Stomata.conductance.per.leaf.area
Alplaus Kill N,NA,26.65,0.67,190.75,9.322,10.812,1668.606,NA,0.842,153.792,64.95666667,0.07,34.2,2353.06,NA,NA,87.198,174.75
Ballston Creek N,246.13,24.3,20.41333333,190.75,6.402,10.80666667,1713.51,NA,0.885714286,143.4763636,102.198,0.14,27.54545455,10903.00364,2581.49,16.3,43.867,283.825
Battenkill N,44.97,23.5,NA,NA,7.316666667,12.39,1742.342,NA,0.88,141.4483333,45.32,NA,27.83333333,105742.3067,NA,30.4,0.53,365.8
Beaver Kill N,NA,27.85,0.67,190.75,5.41,13.15,1530.15,NA,0.76,125.93,60.09,0.07,40,806.28,NA,NA,433.56,33.5
Big Brook N,44.97,23.5,NA,NA,5.7975,11.15,2028.7825,NA,1.0325,119.4375,45.32,NA,34,2410.4975,NA,30.4,0.553333333,365.8
Boreas River N,54.47,19.16,NA,NA,2.553333333,16.81,1303.274,NA,0.875,116.698,147.25,0.07,20.08333333,298383.495,15156.5,16.2,85.37,NA
Bullhead Pond Brook N,46.21,25.7375,0.67,182.565,6.39,12.5925,1489.62,NA,0.7075,121.7775,72.55,0.07,31.2,3004.448,NA,28.5,177.5375,186.5466667
Cadman Creek N,49.19333333,24.7925,0.64,197,5.463846154,11.77166667,1712.220833,NA,1.742222222,105.3208333,76.30555556,0.104,27.57692308,107442.2485,1,24,120.2427273,223.195
Cedar River N,NA,NA,NA,NA,1.89,16.48,687.82,NA,0.72,67.71,147.25,NA,12,1.00E+06,NA,NA,NA,NA
Chester Creek N,54.47,19.16,NA,NA,2.7625,20.08,985.9733333,NA,0.72,101.1225,147.25,0.07,18.75,193813.7033,15156.5,16.2,127.85,NA
Cobleskill Creek N,NA,21.2,NA,NA,3.94,11.08,1893.8,NA,1.19,83.55,81.08,NA,24,50000.92,NA,NA,0.43,595
Daly Creek N,54.47,23.505,0.67,190.75,3.55,12.26333333,1966.736667,NA,0.76,144.3366667,60.09,0.07,24.125,50082.7975,NA,16.2,229.7533333,33.5
Evas Kill N,46.21,24.58333333,0.665,182.565,4.643333333,12.785,1391.471667,NA,0.945,83.71,62.7125,0.14,29.66666667,31725.885,NA,31.8,142.054,232.46
Fawn Lake N,46.21,25.35,0.645,182.565,5.934,11.48,1730.342,NA,0.7325,167.4875,46.525,0.085,26,15557.37429,NA,25.03333333,177.535,186.5466667
Fishkill Creek N,NA,22.35,NA,NA,6.814,9.588,1603.74,NA,1.1925,91.704,63.2,NA,34.2,12044.442,NA,25.2,0.51,480.4
Four Mile Brook N,54.47,19.16,NA,NA,2.685,15.715,1101.625,NA,0.966666667,111.96,149.5,0.07,20.625,445744.0175,NA,16.2,127.815,NA
Green River N,NA,NA,NA,NA,7.84,11.44333333,1872.153333,NA,1.213333333,104.06,NA,NA,35.66666667,211365.2733,NA,NA,0.46,NA
Hans Creek N,49.72,26.1275,0.65,190.75,4.498,12.721,1559.982,NA,0.8375,103.1745455,60.235,0.1125,31.68181818,112718.1218,NA,25.66666667,77.01444444,166.575
Hudson River N,50.34,27.34,0.64,174.38,6.487142857,11.01714286,1700.188571,NA,0.616666667,66.722,74.565,0.055,22.92857143,185195.15,NA,24,304.7425,161.78
Indian Brook N,NA,27.85,0.67,190.75,7.656666667,12.96666667,890.4433333,NA,0.95,87.17333333,111.12,0.07,26.5,4154.85,NA,43.2,217.12,165.25
Indian Kill N,46.21,24.1,NA,174.38,6.472857143,10.5,1886.823333,NA,0.916,124.4133333,62.86,NA,27.85714286,8001.668571,NA,28.5,46.34833333,263.07
Jassup River N,150.3,21.905,59.91,NA,3.8825,13.7475,1588.41,NA,1,81.3875,221.235,0.07,22.625,296223.3975,2581.49,11.8,127.895,NA
Kayaderosseras Creek N,46.21,22.95,NA,174.38,5.0075,11.535,1161.0275,NA,0.923333333,90.855,80.74,NA,29.5,169214.5925,NA,31.8,69.1575,377.67
Kennyetto Creek N,48.05,16.665,0.57,NA,7.503333333,13.636,1747.062,NA,1.01,314.7883333,NA,0.105,28.91666667,131549.2767,NA,33.53333333,72.974,NA
Keyser Kill N,144.01,23.945,23.58666667,190.75,5.644,11.3425,1984.1325,NA,0.975,122.8475,132.1925,0.14,19.6,33899.056,64751.87,12.025,216.995,209.7133333
Kinderhook Creek N,NA,25.675,0.67,190.75,5.45375,12.63714286,1385.714286,NA,0.948333333,148.07875,85.72,0.07,28.375,81997.64,NA,18.4,89.49571429,199.65
Landsman Kill N,44.71,15.535,0.57,NA,5.885,10.9875,1657.4975,NA,1.06,493.4533333,58.45,0.14,30.5,24897.06,NA,30.2,270.6433333,162
Lansing Kill N,46.9,25.945,0.635,208.31,5.666,11.288,1710.388,NA,1.45,176.78,66.94,0.105,25.7,28445.3,1,25.2,77.21125,203.1733333
Mill Brook N,54.47,19.16,NA,NA,2.833333333,15.87,1228.94,NA,0.72,124.93,147.25,0.07,18.83333333,387364.7667,NA,16.2,127.85,NA
Mill Creek N,48.55,23.32,0.63,174.38,6.791428571,13.72571429,1277.14,NA,1.576,71.44142857,100.3275,0.05,23.21428571,167436.6029,NA,27.86666667,176.525,179.725
Minots Corner Road N,48.05,20.9325,0.615,NA,6.441818182,10.86090909,1853.271818,NA,0.918571429,268.21,59.66333333,0.14,26.95,24435.16455,NA,31.45,45.85,253.4
Mohawk River N,49.72,19.16,0.64,NA,6.672857143,13.54142857,1470.775714,NA,0.7625,108.92,14.785,0.126666667,25.35714286,46663.36571,NA,25.9,51.486,141
New Pond Brook N,48.55,30.82,0.64,174.38,8.674,12.48,1445.496,NA,0.583333333,61.022,46.28,0.055,25.7,43895.764,NA,27.86666667,176.5175,161.67
North Branch West Stony Creek N,48.55,22.45333333,0.66,174.38,5.745714286,13.62571429,1416.18,NA,0.802,93.48571429,90.8,0.14,24.35714286,170305.2657,NA,27.2,132.8925,222.38
Paragon Brook N,54.47,31.28666667,0.643333333,NA,5.397142857,14.01666667,1288.56,NA,2.233333333,89.39571429,21.11666667,0.0875,28.07142857,36118.04143,15156.5,16.2,101.175,167.7033333
